body,Asker,Answered,Answered by,,,
"What should the URL look like in your opinion [~tirelli]? From a RESTful point of view, we're creating a new kie-container resource, so in theory it should be a PUT (create resource) on URL""/server/container/\{id\}"" that accepts a DMN file. However, that URL already exist. We could provide support for different request bodies in that operation (e.g. a `KieContainerResource` and a `DmnKieContainerResource`), but that could become a bit nasty ... We can also use a POST on something like ""/server/containers/\{id\}/resources"" and have that create a container resource under ""/server/containers/\{id\}"" (the reason I don't like a PUT in this case is because we create the resource (container) under a different URL than our request URL). The reason for the name ""resources"" (plural) is that we could provide multiple resources in the body (e.g. multiple DMN files). Second, apart from the DMN XML file (or files), do we also want to be able to post more information in the body (e.g. like additional information we pass in `KieContainerResource`)? And finally, should this be part of the DMN extension or KIE-Server Commons? The argument for DMN would be that otherwise we would expect Commons to have DMN knowledge. On the other hand, it's just deploying a KIE Containerner based on a resource file. The fact that that's a DMN model does not really matter (in theory this could be any resource file). Personally KIE-Server Commons makes most sense.",Duncan Doyle,1,Edson Tirelli,,,
"I don't think we should make this for jBPM as by nature it is stateful so once you create such resource and bounce the server it's gone while the data in db remains - kind of orphans. That in general applies to stateless/in memory stuff too, how would you deal with server restarts? Or is this intended for quick checks of resources? My vote is to include it in DMN extension or Drools if you would like to support other rule related resource types.",Maciej Swiderski,1,Edson Tirelli,Provide his opinion,,
I see two approaches to this: - if we consider it as demo only I would opt for having this to be as separate extension - so it can be deployed outside of the official distribution that way we avoid potential issues/bug reports that it won't survive server restarts - make it all the way down to survive the restarts by saving given kjar into maven repo locally and then simply register it as any other container. Not sure what is preferred as I don't know the origin of this request....,Maciej Swiderski,1,Duncan Doyle,Compare solutions,,
Can you please check the container in the kie-server if you haven't enabled the kie-scanner by mistake? There is a configuration there to run the kie-scanner continuously or to deactivate it.,Edson Tirelli,1,Dhamodharan Krishnan,,,
[~mfusco] can you please quickly fix this in the docs? Use this ticket for it.,Edson Tirelli,1,Mario Fusco,,,
"Implementing AutoCloseable is only useful if you're planning to use the AutoCloseable resource in a try-with-resources block, but to be honest I don't think it will be common at all to use a KieSession in that way. Do you have a use case where you may need (or want) to do that? If so can you please paste the code snippet where you tried to do this, so I could have a better idea regarding the possible implications?",Mario Fusco,1,tech meshter,,,
What you're suggesting sounds interesting but it is not entirely clear to me. In particular I don't understand how you could implement meaningful hashcode and equals methods on a ClassLoader. If you already implemented this could you maybe send a pull request with what you did or at least paste it somewhere? Thank you.,Mario Fusco,1,Hans Lund,,,
"[~Rikkola] sorry, I am confused. Does this change need to be done in the workbench or in core?",Edson Tirelli,1,Toni Rikkola,,,
"I think I can confirm this. I created the ""same"" benchmarks in kie-benchmarks using JMH (I used DRLs and fact inserts from [~tkobayashi]'s reproducer). I put it in my separate branch, which you can find here [1]. Please *DO NOT MERGE* it into upstream, because it contains changes in pom.xml's and other benchmarks that contain references to APIs available only in 7.x. I will create separate PR for upstream/master when needed. [~tkobayashi] could you please check my benchmarks if I migrated them correctly? My results when I ran the benchmarks locally on my computer are here [2] . [1] https://github.com/baldimir/kie-benchmarks/tree/DROOLS-1387 [2] http://pastebin.com/dsAMv5x3",Tibor Zimányi,1,Toshiya Kobayashi,,,
"[~mfusco], Sorry about not having distilled the test case enough. I'll make sure to be careful about eval use. Btw, I have removed eval from the test case rules (Rule1.drl and Rule2.drl) and attached (brms-perf-comarison-02.zip). The result still tells that ReteOO is 30% faster than PHREAK in average. Am I still overlooking some eval use in the rules? Or could we say ""eval"" and ""accumulate"" and ""exists"" are all slow in PHREAK?",Toshiya Kobayashi,1,Mario Fusco,,,
"[~tkobayashi] I don't understand why an user may want to put a text into a cell with Numeric type. Is there a valid use for this? In general we should stop trying to parse any sort of garbage thrown in by users. This sort of guesses and type coercions causes many more damages than benefit on the long term and once they are in you cannot get rid of them anymore, otherwise you'll break compatibility.",Mario Fusco,1,Toshiya Kobayashi,,,
"[~mfusco] Sorry about not explaining the use case well. Please have a look at the attached NumericDisabled.xls. It contains a cell ""6600"" but it will result in ""6600.000000000001"" in a generated DRL. The cell is copied from customer's XLS which is generated by VBA macro. Users see ""6600"" as its String representation regardless of how Excel stores its value behind. Changing ""Format Cells"" has no effect. Does this make sense that users want to get ""6600""? Another example is BasicWorkbook_with_low_values.xls which is tested by SpreadsheetCompilerUnitTest#testProcessSheetForExtremeLowNumbers() https://github.com/droolsjbpm/drools/blob/master/drools-decisiontables/src/test/java/org/drools/decisiontable/SpreadsheetCompilerUnitTest.java#L374-L389 This test intentionally asserts double values (e.g. ""3.0E-4""). But this option allows users to get ""0.0003"" which is the as-is String representation of the cell.",Toshiya Kobayashi,1,Mario Fusco,Clarification,,
"Hi Edson, Could you please share me some links / sample configs so that i can try out the same in my project ? Thanks, Kavi sri K K",Kavi sri,1,Edson Tirelli,"Edson rejected issue because it is a project setting problem, and direct reporter to correlct document",Do not at check time,
Can you please clarify your request and provide an example?,Edson Tirelli,1,Dan Cimpoesu,,,
"Hi Tianwei Chen, just followed your comment and still got the same error. Did you still use droolsjbpm tools 6.4 plugin? I have to add dialect mvel to make it work. Is it an issue of plugin or runtime?",Sean Wu,1,Tomas David,"total are 6, most of them belongs to same project",,
"Hi [~kuniyasu], if I'm understanding correctly what you're asking here is adding those new SequentialMaxPriority and SequentialMinPriority optional fields in the ""RuleSet"" section of the XLS for each sheet and setting the salience of the generated rules accordingly. Can you confirm?",Mario Fusco,1,Osamu Kuniyasu,,,
"Hi Youcef, Thanks for the slide set about the Italian HACEP project. It makes it much more clear. I intend to port the Italian HACEP solution to the Amazon cloud replacing Infinispan, ActiveMQ, Camel Route, etc. with Amazon equivalents. The grouping is done on Tenant (aka customer environment). The domain is Business Event Monitoring in the cloud. Are you going to use Apache Geode in your project as a replacement for Infinispan? If so, why?",Tom Pijl,1,Youcef Hilem,Do not know whether successfull or not,,
"ok, but what can be the workaround for the problem? How can I force the execution of update (final FactHandle handle, BitMask mask, Class <?> ModifiedClass). Since you are in the development you could give me some guidance? Best Regards",Sante Stanisci,1,Mario Fusco,Sante Stanisci attached 4 files. Mario's solution and Snate's solution are working on different sets of code,,
"Did you try what I suggested in my last comment? Something like {code} DroolsUtil.completeEntity($entity, fields, $untMis); $entity.setUntMisVen($entity.getUntMisVen()); update($entity) {code}",Mario Fusco,1,Sante Stanisci,Sante Stanisci attached 4 files. Mario's solution and Snate's solution are working on different sets of code,,
"I tryed I, but is a trivial solution, because DroolUtil can set multiple fields in multiple class that extends EntityBase in this example case rule ""completeCodDivisaContAndCambioDivisaCont"" when eval(checkRulesEnabled == 0) (JtbRLavt(codDiviCont == null || cambioDiviCont == null, $entityFind : this) or JtbRLavr(codDiviCont == null || cambioDiviCont == null, $entityFind : this) or GtbSpes(codDiviCont == null || cambioDiviCont == null, $entityFind : this) or GtbTipiPaga(codDiviCont == null || cambioDiviCont == null, $entityFind : this) or PartitaMag(codDiviCont == null || cambioDiviCont == null, $entityFind : this) or CtbMovt(codDiviCont == null || cambioDiviCont == null, $entityFind : this) or CtbMovr(codDiviCont == null || cambioDiviCont == null, $entityFind : this) or CtbMovrCoan(codDiviCont == null || cambioDiviCont == null, $entityFind : this) or CtbMovi(codDiviCont == null || cambioDiviCont == null, $entityFind : this) or CtbParr(codDiviCont == null || cambioDiviCont == null, $entityFind : this) or VtbArti(codDiviCont == null || cambioDiviCont == null, $entityFind : this) or MtbSpes(codDiviCont == null || cambioDiviCont == null, $entityFind : this) ) $entity : EntityBase() from $entityFind $t: java.util.Map() from CommonRules.completeCodDivi(conn) then Double cambio = new Double($t.get(""cambio"").toString()); String[] fields = new String[]{""codDiviCont"", ""cambioDiviCont""}; DroolsUtil.completeEntity($entity, fields, $t.get(""cod_divi_contab"").toString(), cambio); update($entity); end Drool natively modify not have this capability. It's clear?",Sante Stanisci,1,Mario Fusco,Sante Stanisci attached 4 files. Mario's solution and Snate's solution are working on different sets of code,,
"This is a workaround finded by me rule ""completeUntMisVen"" when eval(checkRulesEnabled == 0) $entity : MtbLisvData(untMisVen == null && codMart != null ) $untMis: java.lang.String() from SalesRules.completeUntMisLisv(conn, $entity) then //modify ( $entity ) { setUntMisVen($untMis) } String[] fields = new String[]{""untMisVen""}; DroolsUtil.completeEntity($entity, fields, $untMis); long l = 434576465786346l; //random long LongBitMask ll = new LongBitMask(l); update($entity, ll, $entity.getClass()); //update($entity) end It is a correct solution? In this way bitmask is not 0 and next rule fire correctly",Sante Stanisci,1,Mario Fusco,Sante Stanisci attached 4 files. Mario's solution and Snate's solution are working on different sets of code,,
"Solution proposed in last post is not possible because $entity : EntityBase() from $entityFind $entity is EntityBase and setCodDiviCont(), setCambioDiviCont() methods are in one of class listed (JtbRLavt, JtbRLavr, GtbSpes, ....) In compile phase drools throw error because not find methods in entitybase. You confirm this behavior in 6.4.0?",Sante Stanisci,1,Mario Fusco,Sante Stanisci attached 4 files. Mario's solution and Snate's solution are working on different sets of code,,
"I would like a solution, I can invoke the mask calculation in some way?",Sante Stanisci,1,Mario Fusco,Sante Stanisci attached 4 files. Mario's solution and Snate's solution are working on different sets of code,,
May I understand why you're insisting using property reactivity for this use case? Which advantages do you see?,Mario Fusco,1,Sante Stanisci,Sante Stanisci attached 4 files. Mario's solution and Snate's solution are working on different sets of code,,
"I'm sorry, but property reactivity doesn't fit your use case. Have you tried to disable it and see what happens? I don't see why it shouldn't work.",Mario Fusco,1,Sante Stanisci,Sante Stanisci attached 4 files. Mario's solution and Snate's solution are working on different sets of code,,
"No, because I want PropertyReactive. With no property reactive rules have cascade firing?",Sante Stanisci,1,Mario Fusco,Sante Stanisci attached 4 files. Mario's solution and Snate's solution are working on different sets of code,,
And how to Drools know that property was changed?,Sante Stanisci,1,Mario Fusco,Sante Stanisci attached 4 files. Mario's solution and Snate's solution are working on different sets of code,,
"Something similar to the following(?): {code} public interface ScanEventListener { void beforeScan(); void afterScan(AfterScanEvent event); } public interface AfterScanEvent { List<ReleaseId> getUpdatedArtifacts(); // alternatively? Map<DependencyDescriptor, Artifact> getUpdatedArtifacts(); } {code}",Marek Winkler,1,Mario Fusco,Answer may in duplicate issue,,
"Note that the RPM work is working around this, so RPM's shouldn't really impact the decision here. I do think it's an improvement nonetheless. In this proposal (let's call it proposal A), what are the changes? - Will it remove 1 POM (because kie-parent-with-dependencies and kie-platform-bom will become kie-third-party-bom)? - Child poms don't change, only top level multiproject parent poms.",Geoffrey De Smet ,1,Petr Široký,,,
"Probably a null dereferencing inside an mvel constraint in the DRL, but the drools-compiler should mention the right line number in the stacktrace. [~idoflax] Have you tried commenting out some of the rules, to identify which of the DRL rules causes this exception?",Geoffrey De Smet ,1,Ido Flax,,,
"Can you specify which DRL line exactly caused it? We want to improve the error message in a future version, so it mentions that exact DRL line.",Geoffrey De Smet ,1,Ido Flax,A following question,,
this has been recently added so you can set system property to enable text based date format for JSON marshaller: https://github.com/droolsjbpm/droolsjbpm-integration/blob/master/kie-server-parent/kie-server-api/src/main/java/org/kie/server/api/marshalling/json/JSONMarshaller.java#L66 though it does use certain data format pattern: https://github.com/droolsjbpm/droolsjbpm-integration/blob/master/kie-server-parent/kie-server-api/src/main/java/org/kie/server/api/marshalling/json/JSONMarshaller.java#L73 would this be sufficient or shall we have another system property to control actual date format pattern?,Maciej Swiderski,1,William Siqueira,Project lead assign it to new assignee,,
[~psiroky] only for master or for other branches too ?,Michael Biarnes Kiefer,1,Petr Široký,,,
"Should I only look in the java files or in the drl files too? What should I do in this case: /** * Finds currently available server ports. * * @author <a href=""mailto:dev@directory.apache.org"">Apache Directory Project</a> * @see <a href=""http://www.iana.org/assignments/port-numbers"">IANA.org</a> */ There are a bunch of @authors in test java files, like i.e. public class StandaloneDocBuilder { public static void main(String[] args) throws FileNotFoundException, ParseException { String drl = """"; drl += ""# important information\n""; drl += ""# about this package\n""; drl += ""# it contains some rules\n""; drl += ""package org.kie.test\n""; drl += ""global java.util.List list\n""; drl += ""# Really important information about this rule \n""; drl += ""# Another line because one was not enough \n""; drl += ""# \n""; drl += ""# @author: trikkola \n""; Should this be removed too?",Michael Biarnes Kiefer,1,Petr Široký,,,
"There's already a logged error message like: {code} 2016-04-14 10:36:00,259 [main] ERROR Unable to build kie service url=file:/home/mario/workspace/droolsjbpm/drools/drools-beliefs/target/classes/META-INF/kie.conf reason=[Error: unable to resolve class: org.drools.beliefs.bayes.assembler.BayesAssemblerServicex] [Near : {... assemblers' : [ new org.drools.beliefs.bayes.assem ....}] ^ {code} and I'd prefer to keep it instead of throwing and Exception. What do you think?",Mario Fusco,1,Geoffrey De Smet,Ask code review,,
Can you please send a PR adding a new example in drools-examples-cdi so I could start working from there?,Mario Fusco,1,Mauricio Salatino,,,
"This should be fixed for 6.4.0.Final, does it sound possible?",Mauricio Salatino,1,Petr Široký,Asker care about when to fix it. Assignee tell him and actually change fix version,,
"As kie-group website is not prepared for rake I have done a ""short term solution"" adding links to this page. Please look at the image:!kie-group.png|thumbnail! What do you think?",Michael Biarnes Kiefer ,1,Geoffrey De Smet,,,
"Thanks for the pointers [~martenscs]. Is there any other prefix we need to worry about? Or does startsWith(""bundle"") cover all the needed cases?",Petr Široký ,1, Chris Martens,Extention of requirements,,
any news here [~mfusco]?,David virgil naranjo ,1,Geoffrey De Smet,,,
"Hi Geoffrey, I don't know what shoud be the expected behaviour? i.e. I run in drools jdeps -jdkinternals ./drools-verifier/src/test/resources/org/drools/verifier/model.jar only for test purposes. It says: Picked up JAVA_TOOL_OPTIONS: -Dfile.encoding=UTF-8 ./drools-verifier/src/test/resources/org/drools/verifier/model.jar -> /usr/java/jdk1.8.0_20/jre/lib/rt.jar Hope thta this is OK. When an error is found, what would be the behaviour?",Michael Biarnes Kiefer ,1,Geoffrey De Smet,,,
"I guess that means that the verifier model jar is fine? I presume the output would clearly state FAILURE or ERROR otherwise. Try kie-api.jar and drools-compiler.jar. IIRC, there's a sun.* import in there somewhere.",Geoffrey De Smet,1,Michael Biarnes Kiefer ,,,
